,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
4,BNC33,2,Pawn Shop,14.730068200000002,7.0770662,7.653002000000001,136.92468888978672,17.891631138968304,0.7933131777777775,19
5,BNC33,2,Pizzeria,12.4995425,4.423669500000001,8.075873000000001,126.88767366363584,15.711945156100873,0.7287313437500003,17
6,BNC33,2,Quattroki Restaurant,8.7704177,1.6527057,7.117712,192.9961088732809,27.114908396586,0.4180933526315789,20
7,BNC33,2,High School,9.1733736,1.9793006,7.194073,207.2855324563791,28.813376296901502,0.35269525,21
0,BNC33,3,Automobile shop,6.5932707,1.8984087000000005,4.694862,60.08227892119569,12.79745366768942,0.5954106699999999,11
1,BNC33,3,Police station ,8.097126399999999,1.5766024,6.520523999999999,122.62566332887928,18.80610566403548,0.5763670307692306,14
2,BNC33,3,Fire Station,6.6458219,2.1382699,4.507552,138.50371042149726,30.72703552205216,0.3397803076923075,14
3,BNC33,3,Bank,15.4511084,7.4028474,8.048261,127.22218016964707,15.807412330396229,0.7247852727272727,12
4,BNC33,3,Pawn Shop,7.4095449,3.6178969,3.791648,87.55794915283329,23.092320055245978,0.8116561125000002,9
5,BNC33,3,Pizzeria,11.5136516,5.0349466,6.478705000000001,123.46310121833058,19.0567561292466,0.49143,14
6,BNC33,3,Quattroki Restaurant,7.526794799999999,1.5349178,5.991877,191.32916408897145,31.93142384080505,0.3978389294117647,18
7,BNC33,3,High School,9.8272918,1.8205388,8.006753,204.43210535752857,25.532460581402795,0.4378498888888886,19
0,BNC34,1,Automobile shop,19.723286700000003,4.4181367,15.30515,62.83427833318101,4.105433682987818,1.9098000777777784,10
1,BNC34,1,Police station ,49.4779731,2.6170651,46.860908,207.18594947329436,4.421296093393972,2.123107863636363,23
2,BNC34,1,Fire Station,15.9720264,3.0556954,12.916331,138.56489595142608,10.72788363440253,0.9700031846153846,14
3,BNC34,1,Bank,29.0897774,8.2081994,20.881578,143.6840521345646,6.880900099339457,3.132696488888888,10
4,BNC34,1,Pawn Shop,15.7215613,5.1802973,10.541264,100.08525164197827,9.49461579199404,1.4730737875000002,9
5,BNC34,1,Pizzeria,42.5130561,2.1666651,40.346391,229.45093476351948,5.68702501206414,1.4283004678571425,29
6,BNC34,1,Quattroki Restaurant,75.8733096,4.9653936000000005,70.907916,564.2267922356777,7.95717635017898,1.0305212583333336,73
7,BNC34,1,High School,16.2143045,2.6656435000000003,13.548661,218.03408391753743,16.092666568123406,0.7457860555555554,19
0,BNC34,2,Automobile shop,10.5196967,2.9367807,7.582915999999999,66.79115859367965,8.808110045486414,0.8541917909090908,12
1,BNC34,2,Police station ,65.41593070000002,2.7925467,62.62338400000001,434.6128856059847,6.940105402256521,1.099044029310345,59
2,BNC34,2,Fire Station,11.4094401,2.5973471000000004,8.812092999999999,140.57094480967692,15.952049621999782,0.6224740714285711,15
3,BNC34,2,Bank,10.7217403,2.2569773,8.464763,132.76977332957182,15.684995944903813,1.2647897875,9
4,BNC34,2,Pawn Shop,34.70723509999999,5.569111100000001,29.138124,205.43488598616625,7.050381348715732,1.1597149269230764,27
5,BNC34,2,Pizzeria,72.44986499999999,4.340455,68.10941,505.0088549987423,7.414670821531742,0.9360542191780824,74
6,BNC34,2,Quattroki Restaurant,13.9437915,4.0553275,9.888464,193.09908737095773,19.527713037227795,0.6809233421052633,20
7,BNC34,2,High School,12.2843992,1.9864072,10.297992,212.27899152908253,20.61362948515424,0.6173794315789475,20
0,BNC34,3,Automobile shop,8.0032797,2.4827227,5.520557,63.04690848174818,11.42038900816497,0.70868747,11
1,BNC34,3,Police station ,23.0136518,1.8407438,21.172908,188.42088022491825,8.89914981092433,1.1017005400000004,21
2,BNC34,3,Fire Station,9.1318113,2.2363823000000003,6.895428999999999,135.03853113286368,19.583775154941584,0.5234527692307693,14
3,BNC34,3,Bank,14.4786147,3.0140217,11.464593,130.76936923279743,11.40636821846161,1.4261689999999998,9
4,BNC34,3,Pawn Shop,19.277740700000003,4.0210047,15.256736000000002,145.52811588961225,9.538614018726694,1.0493986294117648,18
5,BNC34,3,Pizzeria,27.3745291,1.7985021,25.576027,222.72652240639263,8.70840973097161,0.7879707531250004,33
