Participant,X,Z,Target_Name
BNC37_t3,-40.97912,4.304197,Pizzeria
BNC37_t3,-41.04294,11.16849,Pizzeria
BNC37_t3,-40.96389,18.03107,Pizzeria
BNC37_t3,-40.57434,24.86415,Pizzeria
BNC37_t3,-40.25251,31.68406,Pizzeria
BNC37_t3,-39.94286,38.50224,Pizzeria
BNC37_t3,-39.75925,45.27778,Pizzeria
BNC37_t3,-39.68063,52.03841,Pizzeria
BNC37_t3,-39.50888,58.80589,Pizzeria
BNC37_t3,-39.32442,65.58289,Pizzeria
BNC37_t3,-39.03648,72.2738,Pizzeria
BNC37_t3,-33.74137,76.33527,Pizzeria
BNC37_t3,-27.34936,78.1221,Pizzeria
BNC37_t3,-20.65133,76.77145,Pizzeria
BNC37_t3,-13.81149,76.25163,Pizzeria
BNC37_t3,-7.081911,75.48122,Pizzeria
BNC37_t3,-0.4528921,74.78304,Pizzeria
BNC37_t3,6.11937,76.33348,Pizzeria
BNC37_t3,12.6961,77.54948,Pizzeria
BNC37_t3,19.2589,77.82894,Pizzeria
BNC37_t3,25.84796,78.08807,Pizzeria
BNC37_t3,32.33528,77.9466,Pizzeria
BNC37_t3,38.88928,78.01276,Pizzeria
BNC37_t3,45.46215,77.88181,Pizzeria
BNC37_t3,51.98289,77.74166,Pizzeria
BNC37_t3,57.84391,74.79214,Pizzeria
BNC37_t3,63.27439,71.35204,Pizzeria
BNC37_t3,67.22873,66.31238,Pizzeria
BNC37_t3,66.26845,59.91666,Pizzeria
BNC37_t3,64.97626,53.61629,Pizzeria
BNC37_t3,64.55635,46.8791,Pizzeria
BNC37_t3,63.87535,40.14371,Pizzeria
BNC37_t3,62.8964,33.41265,Pizzeria
BNC37_t3,0,-4.1,Quattroki Restaurant
BNC37_t3,0.09274977,-10.63675,Quattroki Restaurant
BNC37_t3,0.3579024,-17.25145,Quattroki Restaurant
BNC37_t3,0.5911623,-23.84311,Quattroki Restaurant
BNC37_t3,0.8775996,-16.85638,Quattroki Restaurant
BNC37_t3,1.543499,-9.90594,Quattroki Restaurant
BNC37_t3,2.140308,-2.982567,Quattroki Restaurant
BNC37_t3,2.74999,3.911543,Quattroki Restaurant
BNC37_t3,2.417316,10.82286,Quattroki Restaurant
BNC37_t3,2.126139,17.69964,Quattroki Restaurant
BNC37_t3,1.384107,24.36825,Quattroki Restaurant
BNC37_t3,1.220664,31.04357,Quattroki Restaurant
BNC37_t3,1.817609,37.68532,Quattroki Restaurant
BNC37_t3,1.797407,44.47433,Quattroki Restaurant
BNC37_t3,1.976056,51.32544,Quattroki Restaurant
BNC37_t3,2.374597,58.17364,Quattroki Restaurant
BNC37_t3,2.694904,64.98862,Quattroki Restaurant
BNC37_t3,2.342067,71.84374,Quattroki Restaurant
BNC37_t3,-3.847563,74.62389,Quattroki Restaurant
BNC37_t3,-10.38807,76.10281,Quattroki Restaurant
BNC37_t3,-17.1644,76.62856,Quattroki Restaurant
BNC37_t3,-23.95045,76.93295,Quattroki Restaurant
BNC37_t3,-30.7075,77.04729,Quattroki Restaurant
BNC37_t3,-37.48898,77.16041,Quattroki Restaurant
BNC37_t3,-43.67207,76.99206,Quattroki Restaurant
BNC37_t3,0,-4.1,High School
